,Player,Progressive Carries,Touches,Expected Assists,Progressive Passes,Passes,Interceptions,Possession-Winning-Tackles,Aerials Won,Pos,Non-Penalty Expected Goals,cluster,Component 1,Component 2
888,Paul Seguin,2.4786324786324787,57.820512820512825,0.0811965811965812,4.957264957264957,36.4957264957265,1.7094017094017095,1.3675213675213675,1.7094017094017095,Midfielder,0.02,1,-0.7701979247579054,-0.623446784158739
889,Nélson Semedo,6.329113924050633,61.89873417721519,0.050632911392405,3.037974683544304,38.31223628691984,1.8143459915611813,1.6877637130801688,0.8438818565400844,Defender,0.06,6,-1.1724258888595895,0.7749843847500869
890,Suat Serdar,4.105691056910569,38.69918699186992,0.0609756097560975,2.4796747967479678,17.398373983739837,1.6260162601626016,1.7073170731707317,0.975609756097561,Winger,0.1,3,0.3989633511721365,-0.5924029542274792
891,Luke Shaw,5.393258426966292,74.21348314606742,0.1797752808988764,4.382022471910112,52.69662921348314,0.8426966292134831,0.7303370786516854,1.2359550561797752,Defender,0.01,2,-0.4464106281914325,1.7540369900418882
892,Jonjo Shelvey,1.4545454545454546,49.90909090909091,0.0363636363636363,3.1818181818181817,33.31818181818182,1.5909090909090908,0.6363636363636364,0.5909090909090909,Midfielder,0.04,5,0.0726775712184519,-0.9950194185622364
893,André Silva,2.683982683982684,38.3982683982684,0.1082251082251082,1.948051948051948,17.965367965367964,0.303030303030303,0.5627705627705627,2.0779220779220777,Forward,0.45,0,3.424064406270228,-0.6393946913769303
894,Bernardo Silva,10.757097791798108,70.78864353312304,0.1640378548895899,2.77602523659306,53.56466876971609,1.0094637223974765,1.0410094637223974,0.4416403785488959,Winger,0.21,4,0.015844819890927682,3.610714922449931
895,Caio Henrique Oliveira Silva,7.162162162162161,72.43243243243244,0.1959459459459459,5.202702702702703,48.14189189189189,1.9594594594594597,0.8108108108108107,0.4391891891891891,Defender,0.03,2,-0.8359040285569075,2.3580793951576844
896,David Silva,7.0680628272251305,64.60732984293193,0.2303664921465968,5.0785340314136125,47.80104712041884,0.7853403141361256,1.4659685863874343,0.5759162303664921,Midfielder,0.14,4,0.1434303447810968,2.7123710341222464
897,Thiago Silva,6.9727891156462585,95.68027210884354,0.0068027210884353,4.557823129251701,79.76190476190476,2.2108843537414966,0.7823129251700681,2.312925170068027,Defender,0.03,2,-3.2360069989069222,1.3117872650649445
898,Mohamed Simakan,3.2286995515695067,72.152466367713,0.0134529147982062,2.914798206278027,54.12556053811659,2.3318385650224216,1.0762331838565022,2.9596412556053813,Defender,0.04,1,-2.028190093020098,-0.8718561413388242
899,Giovanni Simeone,2.135593220338983,39.6271186440678,0.0915254237288135,0.8813559322033898,16.610169491525422,0.2033898305084746,0.6440677966101694,2.0338983050847457,Forward,0.34,0,2.966433409361041,-0.9510297724607841
900,Moses Simon,7.6061776061776065,44.16988416988417,0.277992277992278,1.776061776061776,20.54054054054054,0.7722007722007722,0.5791505791505792,0.5791505791505792,Winger,0.15,4,2.4057266177504486,2.257670644734256
901,Wilfried Singo,5.068965517241379,61.72413793103448,0.0827586206896551,3.413793103448276,37.206896551724135,1.3103448275862069,0.7931034482758621,2.0,Defender,0.09,6,0.01843351983036237,0.21423548237455955
902,Ibrahima Sissoko,4.921875,53.7109375,0.1640625,3.5546875,33.359375,1.71875,0.9375,2.578125,Wingback,0.1,3,0.33736148461022886,0.1767089192896302
903,Moussa Sissoko,2.374301675977654,42.79329608938548,0.0782122905027933,3.128491620111732,26.39664804469274,1.229050279329609,1.11731843575419,2.374301675977654,Midfielder,0.1,5,0.7186548487369286,-1.250778204459348
904,Ellyes Skhiri,1.98019801980198,59.00990099009901,0.0297029702970297,3.316831683168317,39.30693069306931,2.227722772277228,1.831683168316832,2.326732673267327,Midfielder,0.16,1,-1.198824985587647,-1.2209536195467654
905,Milan Škriniar,3.057142857142857,68.97142857142858,0.0171428571428571,2.2285714285714286,56.77142857142857,1.0857142857142856,0.7142857142857143,1.9142857142857144,Defender,0.07,6,-0.8928349523980394,-0.25909860329940315
906,Chris Smalling,0.7758620689655172,54.310344827586206,0.0043103448275862,1.293103448275862,39.95689655172414,1.5517241379310345,0.9482758620689656,2.586206896551724,Defender,0.07,5,-0.463147847092938,-1.912580988780895
907,Emile Smith Rowe,6.103286384976526,48.68544600938967,0.1032863849765258,2.676056338028169,32.44131455399061,0.9389671361502347,0.7511737089201878,0.3755868544600939,Winger,0.27,3,1.5308249170283454,1.1534590038294805
908,Danilo Soares,5.684210526315789,73.33333333333333,0.0421052631578947,4.0,43.50877192982456,3.754385964912281,2.3859649122807016,1.9649122807017545,Defender,0.02,2,-3.4946841909891293,0.03463338378233397
909,Rubén Sobrino,3.429951690821256,38.69565217391305,0.0917874396135265,1.4009661835748792,18.019323671497585,1.352657004830918,0.8695652173913043,1.9323671497584545,Winger,0.3,0,1.9754251993430292,-0.7849156090965519
910,Carlos Soler,2.909090909090909,44.69090909090909,0.1636363636363636,3.6,24.727272727272727,0.6545454545454545,0.6909090909090909,0.7272727272727273,Midfielder,0.1,3,1.6548403553096063,0.18316970151306544
911,Son,3.926940639269407,57.99086757990868,0.0730593607305936,4.018264840182649,36.21004566210046,1.6438356164383563,0.6849315068493151,0.5479452054794521,Defender,0.05,6,-0.1430467751167556,0.18171576923355962
912,Roberto Soriano,4.982817869415808,53.84879725085911,0.1443298969072164,4.432989690721649,35.429553264604806,1.134020618556701,1.2027491408934707,0.9278350515463916,Winger,0.06,3,0.2150621333556594,0.847204175987017
913,Borna Sosa,7.589928057553957,73.59712230215827,0.2122302158273381,6.258992805755396,47.15827338129496,1.330935251798561,0.539568345323741,0.8633093525179856,Defender,0.03,4,-0.2176244849698973,2.5392244808304314
914,Florian Sotoca,4.239130434782608,55.326086956521735,0.108695652173913,4.021739130434782,32.86231884057971,1.123188405797101,0.7246376811594203,3.4057971014492754,Winger,0.26,3,1.1975297025760396,-0.4277688697769714
915,Tomáš Souček,2.235294117647059,51.3235294117647,0.0441176470588235,2.9411764705882355,30.44117647058824,1.6176470588235294,1.2058823529411764,4.117647058823529,Midfielder,0.13,5,0.04200308694361145,-1.9910772108522794
916,Adama Soumaoro,1.984126984126984,49.84126984126984,0.0039682539682539,2.2222222222222223,37.61904761904762,1.746031746031746,0.4761904761904762,2.420634920634921,Defender,0.03,5,-0.17387837721991695,-1.7360485700025825
917,Arnaud Souquet,4.015444015444015,56.87258687258687,0.0501930501930502,3.2432432432432434,33.861003861003866,1.9691119691119687,1.196911196911197,1.505791505791506,Defender,0.02,1,-0.7903074073839778,-0.42601827105979184
918,Djibril Sow,3.7313432835820897,56.231343283582085,0.0820895522388059,4.253731343283582,38.9179104477612,2.6119402985074625,1.2686567164179103,1.1194029850746268,Midfielder,0.02,6,-1.2433082422157464,-0.21166400764011126
919,Çağlar Söyüncü,2.057761732851985,77.07581227436823,0.003610108303249,1.9133574007220215,56.67870036101083,1.8050541516245489,1.083032490974729,3.5740072202166067,Defender,0.05,1,-1.9495503578931157,-1.2520537039315571
920,Anton Stach,4.299516908212561,62.173913043478265,0.1594202898550724,4.1062801932367154,34.106280193236714,3.4782608695652173,1.352657004830918,3.140096618357488,Midfielder,0.08,1,-1.3673584594377906,-0.4158544612647851
921,Niklas Stark,1.5044247787610618,56.3716814159292,0.0132743362831858,2.345132743362832,37.30088495575221,1.902654867256637,1.1504424778761062,3.716814159292035,Wingback,0.03,5,-0.9116725272981955,-2.1750476781222345
922,Raheem Sterling,7.966101694915253,50.932203389830505,0.1949152542372881,3.1779661016949152,30.59322033898305,0.635593220338983,0.7627118644067796,0.211864406779661,Forward,0.5,4,2.8505371659999397,2.609351017637722
923,Angelo Stiller,2.5,60.0531914893617,0.0585106382978723,4.787234042553191,42.34042553191489,1.5957446808510638,1.2234042553191489,1.702127659574468,Midfielder,0.05,1,-0.8056027175715912,-0.5790157346801847
924,Lars Stindl,2.9281767955801103,55.35911602209944,0.1878453038674033,3.2596685082872927,37.12707182320442,0.8839779005524862,0.7734806629834253,1.049723756906077,Winger,0.27,3,1.4783655119455803,0.7393280723591306
